Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
64157, 694 rpm , 201, 2, 185, 63, 236, 0, 0, 0, 0
64257, 696 rpm , 201, 2, 186, 64, 0, 0, 0, 0, 0
64327, 695 rpm , 201, 2, 185, 63, 236, 0, 0, 0, 0
64527, 694 rpm , 201, 2, 185, 64, 0, 0, 0, 0, 0
64646, 695 rpm , 200, 167, 41, 39, 41, 39, 41, 128, 0
64756, 687 rpm , 200, 167, 58, 39, 58, 39, 58, 128, 0
64857, 691 rpm , 201, 2, 180, 64, 80, 0, 0, 5, 0
64956, 715 rpm , 201, 2, 203, 65, 24, 0, 0, 5, 0
65027, 758 rpm , 228, 0, 4, 0, 0, 0, 0, 5, 0
65126, 816 rpm , 200, 167, 108, 39, 108, 39, 108, 128, 0
65246, 930 rpm , 200, 167, 95, 39, 95, 39, 95, 128, 0
65347, 1004 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
65527, 1129 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
65727, 1228 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
66046, 1354 rpm , 200, 167, 22, 39, 22, 39, 22, 128, 0
66177, 1374 rpm , 420, 141, 0, 218, 0, 0, 0, 0, 0
66344, 1377 rpm , 433, 128, 6, 8, 1, 0, 172, 80, 0
66446, 1367 rpm , 200, 167, 19, 39, 19, 39, 19, 128, 0
67206, 1814 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
67284, 1926 rpm , 201, 7, 134, 67, 212, 0, 0, 9, 0
67364, 1994 rpm , 201, 7, 202, 68, 76, 0, 0, 9, 0
67434, 2015 rpm , 200, 167, 7, 39, 7, 39, 7, 128, 0
67565, 2040 rpm , 200, 166, 243, 38, 243, 38, 243, 128, 0
67635, 2040 rpm , 201, 7, 248, 63, 196, 0, 0, 4, 0
67775, 1989 rpm , 228, 0, 4, 0, 0, 229, 0, 0, 0
67845, 1915 rpm , 201, 7, 123, 59, 240, 0, 0, 2, 0
67914, 1852 rpm , 201, 7, 60, 60, 104, 0, 0, 2, 0
68055, 1726 rpm , 200, 166, 199, 38, 199, 38, 199, 128, 0
68195, 1587 rpm , 201, 6, 35, 60, 64, 0, 0, 4, 0
68334, 1474 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
